RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-01-15 06:19:01.7053690,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1388,1268,37L4247F27-25,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
2,2,2025-01-15 06:19:20.9558028,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,668,1948,37L4247F27-25,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
3,3,2025-01-15 06:19:24.2474086,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1944,1800,37L4247F27-25,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
4,4,2025-01-14 14:20:49.7548392,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,832,1780,WIN-3M6ADARIMNH,0,S-1-5-21-1074993871-1730380631-692495208-1000,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070003""},{""@Name"":""FolderId"",""#text"":""7b0db17d-9cd2-4a93-9733-46cc89022e7c""},{""@Name"":""Path"",""#text"":""C:\\Users\\victim machine\\AppData\\Roaming\\Microsoft\\Windows\\Libraries\\Documents.library-ms""}]}}"
5,5,2025-01-14 14:23:52.1154410,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1184,792,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""b4bfcc3a-db2c-424c-b029-7fe99a87c641""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Desktop""}]}}"
6,6,2025-01-14 14:23:52.2714413,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1184,792,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""ae50c081-ebd2-438a-8655-8a092e34987a""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\AppData\\Roaming\\Microsoft\\Windows\\Recent""}]}}"
7,7,2025-01-14 14:23:53.7066438,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1184,1612,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""4c5c32ff-bb9d-43b0-b5b4-2d72e54eaaa4""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Saved Games""}]}}"
8,8,2025-02-07 11:23:18.3231642,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1860,1872,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
9,9,2025-02-07 11:25:23.4985850,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1964,1900,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""b4bfcc3a-db2c-424c-b029-7fe99a87c641""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Desktop""}]}}"
10,10,2025-02-07 11:25:23.5297850,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1964,1900,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""ae50c081-ebd2-438a-8655-8a092e34987a""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\AppData\\Roaming\\Microsoft\\Windows\\Recent""}]}}"
11,11,2025-02-07 11:38:58.5321270,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,868,2460,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
12,12,2025-02-07 11:40:25.7021078,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,2892,1584,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
13,13,2025-02-07 11:40:26.9501100,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,484,1580,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
14,14,2025-02-07 11:46:55.0223443,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1760,1076,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""1777f761-68ad-4d8a-87bd-30b759fa33dd""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Favorites""}]}}"
15,15,2025-02-07 11:46:55.0223443,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1760,1076,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""625b53c3-ab48-4ec1-ba1f-a1ef4146fc19""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu""}]}}"
16,16,2025-02-07 11:46:55.0223443,1002,Warning,Microsoft-Windows-KnownFolders,Microsoft-Windows-Known Folders API Service,1760,1076,WIN-3M6ADARIMNH,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\repos\memory-forensics-tool\artifacts\file.None.0xfffffa8001f06890.dat.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hrError"",""#text"":""0x80070002""},{""@Name"":""FolderId"",""#text"":""fdd39ad0-238f-46af-adb4-6c85480369c7""},{""@Name"":""Path"",""#text"":""C:\\Windows\\system32\\config\\systemprofile\\Documents""}]}}"
