Timeline (UTC),ArtifactType,Description,RecordNumber,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,UserId,UserName,RemoteHost,ExecutableInfo,HiddenRecord,Payload,HiveType,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Recursive,Deleted
2009-07-14 04:45:43.042039500+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-1-0,(default),RegBinary,,,,False,False
2009-07-14 04:45:43.697240700+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-5-32-544,(default),RegBinary,,,,False,False
2009-07-14 04:45:44.212041600+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-5-32-551,(default),RegBinary,,,,False,False
2009-07-14 04:45:45.288443500+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-5-32-545,(default),RegBinary,,,,False,False
2009-07-14 04:45:45.756444300+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-5-6,(default),RegBinary,,,,False,False
2009-07-14 04:45:46.271245200+00:00,Registry,User Accounts (SECURITY) | Built-in accounts in SECURITY hive,,,,,,,,,,,,,,,Security,User Accounts,CMI-CreateHive{0297523D-E529-4E42-8BE7-E1AABC063C84}\Policy\Accounts\S-1-5-19,(default),RegBinary,,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cookies,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Cookies,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Desktop,RegExpandSz,%USERPROFILE%\Desktop,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,NetHood,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Network Shortcuts,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Favorites,RegExpandSz,%USERPROFILE%\Favorites,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,History,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\History,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Local AppData,RegExpandSz,%USERPROFILE%\AppData\Local,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Music,RegExpandSz,%USERPROFILE%\Music,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,AppData,RegExpandSz,%USERPROFILE%\AppData\Roaming,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Video,RegExpandSz,%USERPROFILE%\Videos,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cache,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\Temporary Internet Files,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Personal,RegExpandSz,%USERPROFILE%\Documents,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Pictures,RegExpandSz,%USERPROFILE%\Pictures,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Recent,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Recent,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,SendTo,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\SendTo,,,False,False
2009-07-14 04:45:47.878048+00:00,Registry,User Shell Folders | Displays where a user's Shell folders are mapped to,,,,,,,,,,,,,,,NtUser,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Startup,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup,,,False,False
